TITLE,BRANCH,SOURCE,DATETIME,BRANCH_NUM,DISTANCE IN MILES,LINK
Nottingham Lidl was forced to close as extreme weather damaged ceiling,Wollaton,Nottinghamshire Live,2023-06-14 03:16:25,591,5,https://tinyurl.com/26xuyres
Morrisons flooded after 'severe' storm ripped roof open,Wollaton,Nottinghamshire Live,2023-06-14 03:16:25,591,5,https://tinyurl.com/27tl7b9m
