BU_NUM,BU_BCODE,OPSGRP_BCODE,NAME15,NAME40,BU_SUBTYPE_BCODE,TRADING_SDATE,TRADING_EDATE,ESTAB_BRN_IND
238,238,MS3,TWYFORD,Twyford,SUPMKT,28MAR2000,,Y
308,308,NE1,BYRES ROAD,Byres Road,SUPMKT,12NOV2009,,Y
309,309,MS2,WESTONSUPERMARE,Weston Super Mare,SUPMKT,20AUG2009,,Y
315,315,MS2,WELLINGTON,Wellington,SUPMKT,28JAN2010,,Y
316,316,MISC,ASHBOURNE,Ashbourne,SUPMKT,18MAR2010,16JUN2019,Y
317,317,MS6,STORRINGTON,Storrington,SUPMKT,04MAR2010,,Y
318,318,NE2,MENAI BRIDGE,Menai Bridge,SUPMKT,25MAR2010,,Y
319,319,MS5,MELKSHAM,Melksham,SUPMKT,18MAR2010,,Y
455,455,NE3,COLCHESTER,Colchester,SUPMKT,17SEP2009,,Y
456,456,JLM,JL FHALL OX ST,JL Foodhall Oxford Street,SUPMKT,03OCT2007,,Y
457,457,MS2,PONTPRENNAU,Pontprennau,SUPMKT,14AUG2008,,Y
458,458,MS4,CREWKERNE,Crewkerne,SUPMKT,13NOV2008,,Y
460,460,MS1+CI,KENILWORTH,Kenilworth,SUPMKT,31JUL2008,,Y
461,461,NE1,ELDON SQUARE,Eldon Square,SUPMKT,28AUG2008,12NOV2022,Y
462,462,LSE1,WESTFIELD LONDN,Westfield London,SUPMKT,30OCT2008,,Y
463,463,MS5,WINCHESTER,Winchester,SUPMKT,01OCT2009,,Y
474,474,MS1+CI,ALCESTER,Alcester,SUPMKT,11JUN2009,,Y
475,475,MS4,BRIDPORT,Bridport,SUPMKT,16APR2009,,Y
476,476,SW3,CALDICOT,Caldicot,SUPMKT,18JUN2009,06DEC2020,Y
477,477,LSE5,CROYDON,Croydon,SUPMKT,28MAY2009,12NOV2022,Y
478,478,MS6,HASLEMERE,Haslemere,SUPMKT,07MAY2009,,Y
479,479,MS3,HEADINGTON,Headington,SUPMKT,07MAY2009,,Y
480,480,MS4,HOLSWORTHY,Holsworthy,SUPMKT,04JUN2009,,Y
481,481,NE3,LEIGH ON SEA,Leigh On Sea,SUPMKT,25JUN2009,,Y
482,482,NE1,PONTELAND,Ponteland,SUPMKT,14MAY2009,,Y
483,483,NE3,SAXMUNDHAM,Saxmundham,SUPMKT,07MAY2009,,Y
484,484,NE4,STAMFORD,Stamford,SUPMKT,11JUN2009,,Y
485,485,MISC,TORQUAY,Torquay,SUPMKT,18JUN2009,09JUN2019,Y
486,486,NE3,UPMINSTER,Upminster,SUPMKT,28MAY2009,,Y
487,487,MS1+CI,LUTTERWORTH,Lutterworth,SUPMKT,11MAR2010,,Y
492,492,LSE2,CLERKENWELL,Clerkenwell,SUPMKT,19NOV2009,,Y
493,493,JLM,JL FHALL BWATER,JL Foodhall Bluewater,SUPMKT,06AUG2009,,Y
494,494,NE2,ALTRINCHAM,Altrincham,SUPMKT,15OCT2009,,Y
652,652,MS6,FRIMLEY,Frimley,SUPMKT,26JUL2000,,Y
660,660,LSE3,TWICKENHAM,Twickenham,SUPMKT,11JUL2000,,Y
664,664,LSE2,CANARY WHARF,Canary Wharf,F&H,17SEP2002,,Y
670,670,LSE4,MILL HILL,Mill Hill,SUPMKT,29MAY2003,,Y
672,672,MS1+CI,DROITWICH,Droitwich,SUPMKT,14JUL2005,,Y
675,675,MS3,WALLINGFORD,Wallingford,SUPMKT,12MAY2005,,Y
676,676,MS3,NEWBURY,Newbury,SUPMKT,27MAY2004,,Y
677,677,LSE5,SANDERSTEAD,Sanderstead,SUPMKT,30SEP2004,,Y
678,678,LSE1,KENSINGTON,Kensington,SUPMKT,09SEP2004,,Y
684,684,NE1,HARROGATE,Harrogate,SUPMKT,22JUL2004,,Y
690,690,NE4,RUSHDEN,Rushden,F&H,02SEP2004,,Y
694,694,NE2,LINCOLN,Lincoln,SUPMKT,30SEP2004,,Y
698,698,NE5,RICKMANSWORTH,Rickmansworth,SUPMKT,15NOV2007,,Y
705,705,LSE6,ASHFORD,Ashford,SUPMKT,05NOV2009,,Y
710,710,NE2,CHEADLE HULME,Cheadle Hulme,SUPMKT,19JUL2007,,Y
719,719,LSE3,BALHAM,Balham,SUPMKT,11MAY2006,,Y
720,720,MS5,SOUTHAMPTON NEW,Southampton New,SUPMKT,05OCT2006,,Y
722,722,NE4,AMPTHILL,Ampthill,SUPMKT,29SEP2006,,Y
730,730,MISC,DURHAM,Durham,SUPMKT,17NOV2005,16AUG2008,Y
732,732,LSE2,BARBICAN,Barbican,SUPMKT,18MAY2006,,Y
749,749,NE2,FORMBY,Formby,SUPMKT,12OCT2006,,Y
750,750,NE1,COMELY BANK,Comely Bank,SUPMKT,01JUN2006,,Y
754,754,MS4,CHRISTCHURCH,Christchurch,SUPMKT,25OCT2007,,Y
756,756,LSE2,BAYSWATER,Bayswater,SUPMKT,29MAY2008,,Y
757,757,LSE6,EASTBOURNE,Eastbourne,SUPMKT,19OCT2006,,Y
760,760,LSE3,CHISWICK,Chiswick,SUPMKT,04DEC2008,,Y
761,761,NE1,MORNINGSIDE,Morningside,SUPMKT,01JUN2006,,Y
766,766,MS4,PARKSTONE,Parkstone,SUPMKT,26OCT2006,,Y
767,767,LSE1,CLAPHAM JUNCTN,Clapham Junction,SUPMKT,04DEC2008,,Y
768,768,LSE2,EDGWARE ROAD,Edgware Road,SUPMKT,27NOV2008,,Y
769,769,NE4,BUCKINGHAM,Buckingham,SUPMKT,05JUN2008,,Y
772,772,NE5,WINDSOR NEW,Windsor New,SUPMKT,11OCT2007,,Y
780,780,LSE2,ISLINGTON,Islington,SUPMKT,02APR2009,,Y
782,782,NE1,HEXHAM,Hexham,SUPMKT,02NOV2006,,Y
796,796,MS1+CI,HARBORNE,Harborne,SUPMKT,12JUL2007,,Y
797,797,NE4,BRACKLEY,Brackley,SUPMKT,17JUL2008,,Y
798,798,MS4,LYMINGTON NEW,Lymington New,SUPMKT,09NOV2006,,Y
799,799,SW4,SANDHURST,Sandhurst,SUPMKT,29NOV2007,10NOV2019,Y
833,833,NE2,TRINITY SQUARE,Trinity Square,SUPMKT,11DEC2008,,Y
834,834,MS2,CLIFTON,Clifton,SUPMKT,19MAR2009,,Y
835,835,LSE4,CROUCH END,Crouch End,SUPMKT,08OCT2009,,Y
838,838,LSE5,OXTED,Oxted,SUPMKT,03DEC2009,,Y
199,199,3PL3,ENFIELD CFC,Enfield CFC,SUPMKT,07MAY2020,,Y
259,259,3PL3,GREENFORD CFC,Greenford CFC,SUPMKT,04MAR2021,,N
303,303,MS1+CI,EVESHAM,Evesham,SUPMKT,22NOV2018,,Y
311,311,NE1,YORK,York,SUPMKT,28OCT2010,,Y
312,312,NE2,POYNTON,Poynton,SUPMKT,23SEP2010,,Y
313,313,MS5,EAST COWES,East Cowes,SUPMKT,04NOV2010,,Y
