BU_NUM,BU_BCODE,OPSGRP_BCODE,NAME15,NAME40,BU_SUBTYPE_BCODE,TRADING_SDATE,TRADING_EDATE,ESTAB_BRN_IND
590,590,LSE2,KINGS CROSS,Kings Cross,SUPMKT,24SEP2015,,Y
591,591,NM2,WOLLATON,Wollaton,SUPMKT,26MAR2015,10NOV2019,Y
596,596,MS6,RUSTINGTON,Rustington,SUPMKT,23JUL2015,,Y
598,598,LSE1,BATTERSEA NELMS,BATTERSEA NINE ELMS,SUPMKT,19NOV2015,,Y
599,599,NE2,UTTOXETER,UTTOXETER,SUPMKT,17MAR2016,,Y
601,601,LSE2,HIGH HOLBORN,High Holborn,SUPMKT,04AUG2011,,Y
602,602,MISC,ALDERLEY OLD,Alderley Old,SUPMKT,11AUG2011,22JUL2014,Y
604,604,MS4,SHERBORNE,Sherborne,SUPMKT,03APR2014,,Y
605,605,MS6,HOVE,Hove,SUPMKT,10APR2014,,Y
606,606,MISC,LEEK,Leek,SUPMKT,01MAY2014,26SEP2017,Y
607,607,NE5,HIGH WYCOMBE,High Wycombe,SUPMKT,10MAR2016,,Y
612,612,LSE3,HAMPTON,Hampton,SUPMKT,11JAN2012,,Y
614,614,LSE1,PIMLICO,Pimlico,SUPMKT,02SEP2014,,Y
615,615,MISC,FOREGATE STREET,Foregate Street,SUPMKT,13OCT2011,12NOV2014,Y
616,616,LSE1,CLAPHAM COMMON,Clapham Common,SUPMKT,22JAN2013,,Y
619,619,LSE2,KINGS CROSS ST,Kings Cross Station,SUPMKT,19AUG2014,,Y
620,620,NE1,STIRLING,Stirling,SUPMKT,24JAN2013,,Y
622,622,NE3,NORTH WALSHAM,North Walsham,SUPMKT,29NOV2012,,Y
625,625,NE5,AYLESBURY,Aylesbury,SUPMKT,08AUG2013,,Y
630,630,NE1,MILNGAVIE,Milngavie,SUPMKT,11JUN2015,,Y
632,632,NE3,IPSWICH,Ipswich,SUPMKT,08NOV2012,,Y
636,636,MISC,MANCHESTER PICC,Manchester Piccadilly,SUPMKT,14OCT2014,29SEP2018,Y
637,637,LSE4,HIGHBURY CORNER,Highbury Corner,SUPMKT,24JUL2012,,Y
639,639,LSE4,MUSWELL HILL,Muswell Hill,SUPMKT,03JUL2012,,Y
641,641,LSE1,KNIGHTSBRIDGE,Knightsbridge,SUPMKT,27NOV2012,,Y
642,642,MS1+CI,SOLIHULL,Solihull,SUPMKT,23JUN2016,,Y
643,643,LSE5,SIDCUP,Sidcup,SUPMKT,04SEP2013,,Y
644,644,LSE1,NOTTING HILL GA,Notting Hill Gate,SUPMKT,05AUG2014,,Y
648,648,MS4,TRURO,Truro,SUPMKT,16JUN2016,,Y
700,700,MS1+CI,WORCESTER,Worcester,SUPMKT,30JUN2016,,Y
701,701,MS5,WARMINSTER,Warminster,SUPMKT,29MAR2012,,Y
702,702,MS4,EXETER,Exeter,SUPMKT,06OCT2011,,Y
703,703,LSE2,SOUTH BK TOWER,South Bank Tower,SUPMKT,07JUL2016,,Y
706,706,MS3,BRACKNELL,Bracknell,SUPMKT,24NOV2011,,Y
708,708,MS1+CI,STRATFORD UP AV,Stratford Upon Avon,SUPMKT,26JUL2012,,Y
721,721,NE2,WALTON-LE-DALE,Walton-le-Dale,SUPMKT,02FEB2012,,Y
725,725,NE4,BEDFORD,Bedford,SUPMKT,09AUG2012,,Y
726,726,NE4,WOOTTON,Wootton,SUPMKT,28NOV2013,,Y
728,728,NE4,MARKET HARB,Market Harborough,SUPMKT,27SEP2012,,Y
729,729,MS2,WELLS,Wells,SUPMKT,25JUL2013,,Y
733,733,MS4,POUNDBURY,Poundbury,SUPMKT,17NOV2011,,Y
735,735,MS2,COWBRIDGE,Cowbridge,SUPMKT,01NOV2012,,Y
736,736,3PL2,ROEHAMPTON,ROEHAMPTON,SUPMKT,15APR2014,,Y
737,737,3PL2,BATTERSEA,Battersea,SUPMKT,17APR2014,,Y
738,738,3PL2,BAGSHOT ROAD,Bagshot Road,SUPMKT,16APR2014,,Y
739,739,3PL2,TUBS HILL,Tubs Hill,SUPMKT,05JUN2014,,Y
740,740,LSE2,GREENWICH,Greenwich,SUPMKT,20JUN2013,,Y
742,742,MISC,COLMORE ROW,Colmore Row (Birmingham),SUPMKT,20MAR2012,29SEP2018,Y
743,743,SE4,IPSWICH (CORN),Ipswich (Corn Exchange),SUPMKT,01FEB2012,05DEC2020,Y
744,744,LSE6,KINGSHILL,Kings Hill,SUPMKT,30NOV2011,,Y
751,751,MS2,CHIPPING SBURY,Chipping Sodbury,SUPMKT,10OCT2013,,Y
752,752,NE4,OAKGROVE,Oakgrove,SUPMKT,09MAY2013,,Y
755,755,MISC,DORKING,Dorking,SUPMKT,18APR2013,12NOV2014,Y
758,758,NE4,OUNDLE,Oundle,SUPMKT,17OCT2013,,Y
759,759,NE2,NORTHWICH,Northwich,SUPMKT,21NOV2013,,Y
771,771,NM1,HELENSBURGH,Helensburgh,SUPMKT,24OCT2013,03MAY2020,Y
773,773,LSE2,MONUMENT,Monument,SUPMKT,10SEP2013,,Y
781,781,JLM,LWJL WATFORD,Little Waitrose at John Lewis Watford,SUPMKT,20JUN2013,25MAR2020,Y
783,783,LSE1,VICTORIA STREET,Victoria Street,SUPMKT,02JUL2013,,Y
789,789,LSE1,VAUXHALL,Vauxhall,SUPMKT,05APR2013,,Y
802,802,3PL2,HORLEY B ROAD,Horley - Brighton Road,SUPMKT,26JUN2014,,Y
805,805,MS4,WIMBORNE,Wimborne,SUPMKT,08JUL2010,,Y
806,806,MS3,HEADINGTON L RD,Headington - London Road,SUPMKT,14AUG2014,,Y
808,808,3PL2,GUILDFORD W RD,Guildford Worplesdon Road,SUPMKT,21AUG2014,,Y
815,815,JLM,LWJL SOUTHMPTN,Little Waitrose John Lewis Southampton,SUPMKT,17SEP2014,,Y
820,820,LSE3,EAST PUTNEY,East Putney,SUPMKT,21JAN2014,,Y
828,828,NE1,MEANWOOD,Meanwood,SUPMKT,30SEP2010,,Y
842,842,NE2,CHESTER,Chester,SUPMKT,06NOV2014,,Y
846,846,LSE3,RAYNES PARK,Raynes Park,SUPMKT,07APR2011,,Y
847,847,NM3,OADBY,Oadby,SUPMKT,21OCT2010,03NOV2019,Y
859,859,LSE5,LEATHERHEAD,Leatherhead,SUPMKT,26JAN2017,,Y
860,860,LSE1,VICTORIA BP,Victoria Bressenden Place,SUPMKT,01DEC2016,,Y
865,865,3PL2,SKY (OSTERLEY),SKY (OSTERLEY),SUPMKT,02AUG2016,,Y
871,871,MS3,FARINGDON,Faringdon,SUPMKT,02FEB2017,,Y
873,873,LSE6,HAYWARDS HEATH,Haywards Heath,SUPMKT,30MAR2017,,Y
874,874,NE4,BANBURY,Banbury,SUPMKT,25JAN2018,,Y
876,876,LSE4,FINCHLEY CNTRL,Finchley Central,SUPMKT,14SEP2017,,Y
877,877,MS1+CI,BROMSGROVE,Bromsgrove,SUPMKT,11MAY2017,,Y
878,878,LSE4,WINCHMORE HILL,Winchmore Hill,SUPMKT,12OCT2017,,Y
